nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
IGUACU;2012-01-08;10248.0;6154.0;60.04999923706055
JACUI;2012-01-08;3197.0;2097.0;65.5999984741211
JEQUITINHONHA;2012-01-08;3024.0;2691.0;88.98999786376953
PARAGUACU;2012-01-08;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-08;563.0;272.0;48.33000183105469
PARAIBA DO SUL;2012-01-08;7360.0;5021.0;68.22000122070312
PARANA;2012-01-08;6059.0;3489.0;57.58000183105469
PARANAIBA;2012-01-08;75422.0;46634.0;61.83000183105469
PARANAPANEMA;2012-01-08;11598.0;7797.0;67.2300033569336
PARNAIBA;2012-01-08;264.0;88.0;33.33000183105469
SAO FRANCISCO;2012-01-08;52835.0;33362.0;63.13999938964844
TIETE;2012-01-08;7353.0;4068.0;55.31999969482422
TOCANTINS;2012-01-08;47794.0;28861.0;60.38999938964844
URUGUAI;2012-01-08;5905.0;2468.0;41.79999923706055
AMAZONAS;2012-01-09;312.0;76.0;24.329999923706055
CAPIVARI;2012-01-09;385.0;310.0;80.48999786376953
DOCE;2012-01-09;13.0;11.0;87.45999908447266
GRANDE;2012-01-09;51488.0;37859.0;73.52999877929688
IGUACU;2012-01-09;10248.0;6113.0;59.650001525878906
JACUI;2012-01-09;3197.0;2089.0;65.3499984741211
JEQUITINHONHA;2012-01-09;3024.0;2705.0;89.44999694824219
PARAGUACU;2012-01-09;304.0;101.0;33.189998626708984
PARAGUAI;2012-01-09;563.0;278.0;49.400001525878906
PARAIBA DO SUL;2012-01-09;7360.0;5048.0;68.58000183105469
PARANA;2012-01-09;6059.0;3471.0;57.279998779296875
PARANAIBA;2012-01-09;75422.0;47204.0;62.59000015258789
PARANAPANEMA;2012-01-09;11598.0;7771.0;67.0
PARNAIBA;2012-01-09;264.0;89.0;33.709999084472656
SAO FRANCISCO;2012-01-09;52835.0;33707.0;63.79999923706055
TIETE;2012-01-09;7353.0;4064.0;55.27000045776367
TOCANTINS;2012-01-09;47794.0;29126.0;60.939998626708984
